PetID,Score,Magnitude,Language
86e1089a3,0.3,2.4,en
6296e909a,-0.2,0.7,en
3422e4906,0.2,3.7,en
5842f1ff5,0.9,0.9,en
850a43f90,0.6,3.7,en
d24c30b4b,0,0.2,en
1caa6fcdb,0.2,0.5,en
97aa9eeac,0.1,0.9,en
c06d167ca,0.1,0.5,en
7a0942d61,0.2,1.1,en
8b693ca84,0.8,0.8,en
8e76c8e39,0.3,4.4,en
aaedd873d,0.4,2.9,en
4a9793dfb,0.4,2.6,en
c02be41e6,0.4,2.6,en
1fd342e17,0.6,1.8,en
b38a74866,0.9,0.9,en
f9d07d5fa,0.3,1,en
1c92ce464,0.1,1.8,en
b10e7605a,0.1,1.8,en
6436c1a59,0.3,2.2,en
234a5a54c,0.6,0.6,en
1bc0f89d8,0.5,1.1,en
1bf24d8be,0.2,3.4,en
988988d5b,0.8,0.8,en
cf7d3eec0,0.2,3.1,en
85fc3c314,0.8,0.8,en
efbf1703a,0,0,en
7843a9dca,0.3,0.6,en
d341fbfd6,0.2,1.3,en
1a76190c5,0.3,1.9,en
edb920079,0.3,1.9,en
543130f60,0.4,3.7,en
9415bc79e,0.6,3.1,en
4c6fe4100,0,0,en
0737e4f11,0,0,en
61fa73996,0,0.1,en
eabb13cea,0,0.1,en
deff069a2,0.4,3,en
4e3640544,0.9,0.9,en
ace21b6b1,0,3.7,en
8ee223a17,0.8,0.8,en
9a38d4275,0.1,2.6,en
671ffc570,0.5,1.7,en
aece6e7bf,0.9,0.9,en
c1e816568,0.1,0.8,en
22f6c0ac6,0.3,2.8,en
ea159d8da,0.4,2.2,en
af1035c81,0.3,1.5,en
0d25f084f,0.1,2.5,en
6fecc5cf7,0.1,0.8,en
7fe8ef73d,0.8,0.8,en
015c75c9e,0,1.2,en
9609a0b86,0.1,4,en
c740abfe1,0.2,2.4,en
f6551137d,0.9,1.9,en
8c131db77,0.4,1.9,en
d765ae877,0.9,0.9,en
8ce183889,0.4,1.4,en
9c0ddccc8,0.2,0.2,en
f9df8656a,0,0.4,en
f0ef9c777,0.3,4.2,en
3181e5424,-0.1,2,en
9883a048e,0,1.5,en
b0dec8779,0,2.4,en
e8d0907ae,0,0.4,en
e540c1ba5,0.9,0.9,en
4a4db4d32,0.7,3,en
98a98311c,0.1,2,en
ef14861df,0.7,2.2,en
a9bc357f0,0.5,1.7,en
aaf4a1439,0,0,en
1e62e6022,0.1,1,en
4e797dcdd,0,1,en
45d2ddcb8,0.1,7.8,en
259b10a3e,0.4,1.2,en
d2490c888,0.1,4.8,en
2c93c0c11,0.3,0.8,en
35593da00,0,0,en
4cc70e613,0,1.6,en
ff125cf8d,0.1,0.9,en
c30dd6e9a,0.3,1.9,en
be9474b85,0.6,1.3,en
815f4cc08,0.7,1.5,en
ec5069cf6,0.8,0.8,en
867308404,0.9,0.9,en
